order_id,customer_id,order_date,total_amount,payment_method
1,1358,2024-01-08,13490.05,UPI
2,4724,2022-10-23,122475.37,UPI
3,791,2023-12-18,32034.61,Wallet
4,6163,2022-10-25,2830.05,UPI
5,1185,2023-08-08,8898.36,NetBanking
6,756,2023-09-28,17163.2,Card
7,7312,2023-11-23,8607.69,Card
8,1651,2023-12-23,12836.27,UPI
9,141,2022-07-26,9419.04,COD
10,508,2022-04-30,13706.78,COD
11,8114,2024-12-18,13188.4,UPI
12,282,2022-10-11,22170.49,COD
13,1859,2024-11-22,9419.68,UPI
14,896,2024-09-25,11923.02,NetBanking
15,1786,2022-02-06,66741.13,UPI
16,9236,2023-02-18,17975.07,UPI
17,685,2023-04-05,5767.62,UPI
18,3191,2022-10-16,4308.52,NetBanking
19,1102,2023-07-26,7628.51,Wallet
20,1184,2023-06-20,7481.67,UPI
21,7499,2023-02-22,796.93,NetBanking
22,3072,2023-08-05,9504.89,COD
23,981,2023-04-15,64195.7,Card
24,171,2024-07-20,65419.12,NetBanking
25,8208,2022-09-02,10632.83,Card
26,1999,2022-11-12,5586.38,UPI
27,335,2022-03-11,4951.69,NetBanking
28,5652,2023-04-13,10841.14,Card
29,140,2023-11-28,8703.01,UPI
30,1379,2023-12-08,9600.61,NetBanking
31,299,2024-01-01,7262.01,NetBanking
32,315,2022-07-10,9325.91,Wallet
33,177,2022-12-29,80997.24,Wallet
34,1086,2022-10-09,1722.69,NetBanking
35,1159,2023-07-27,6461.77,UPI
36,1294,2023-10-04,1932.07,UPI
37,2341,2023-12-13,6410.38,Card
38,119,2022-08-25,23157.94,Wallet
39,1066,2024-03-19,230124.71,Card
40,612,2024-12-04,33376.32,Card
41,1939,2023-12-22,7329.82,Card
42,1966,2022-10-10,67251.93,Wallet
43,5726,2022-10-11,2483.86,COD
44,5725,2022-11-24,999.93,UPI
45,1736,2022-02-27,16509.81,Wallet
46,1199,2022-07-10,8412.1,Card
47,1247,2023-02-07,6549.12,UPI
48,7424,2023-08-22,10286.38,Card
49,1577,2023-04-24,1651.23,COD
50,1067,2023-08-01,16732.25,Wallet
51,949,2024-11-17,7607.4,Card
52,1122,2022-10-21,524.45,UPI
53,343,2023-11-08,5326.21,COD
54,6074,2024-03-04,14759.92,Card
55,708,2024-10-08,120652.61,Card
56,344,2023-12-03,3345.4,UPI
57,639,2024-03-11,43469.72,UPI
58,1830,2022-11-11,49477.24,UPI
59,294,2023-05-14,4357.47,Card
60,1773,2024-10-20,2389.55,COD
61,9776,2023-12-05,8495.85,UPI
62,1700,2024-05-21,70844.24,Card
63,8646,2024-06-08,13460.66,Card
