payment_id,order_id,payment_date,payment_method,payment_status
1,1,2024-01-08,UPI,Success
2,2,2022-10-24,UPI,Failed
3,3,2023-12-19,Wallet,Success
4,4,2022-10-25,UPI,Success
5,5,2023-08-08,NetBanking,Pending
6,6,2023-09-29,Card,Failed
7,7,2023-11-23,Card,Success
8,8,2023-12-23,UPI,Success
9,9,2022-07-26,COD,Success
10,10,2022-05-01,COD,Success
11,11,2024-12-19,UPI,Success
12,12,2022-10-11,COD,Success
13,13,2024-11-22,UPI,Success
14,14,2024-09-26,NetBanking,Success
15,15,2022-02-06,UPI,Success
16,16,2023-02-18,UPI,Failed
17,17,2023-04-05,UPI,Success
18,18,2022-10-17,NetBanking,Success
19,19,2023-07-27,Wallet,Success
20,20,2023-06-21,UPI,Success
21,21,2023-02-23,NetBanking,Success
22,22,2023-08-06,COD,Success
23,23,2023-04-16,Card,Success
24,24,2024-07-21,NetBanking,Success
25,25,2022-09-02,Card,Success
26,26,2022-11-12,UPI,Success
27,27,2022-03-12,NetBanking,Success
28,28,2023-04-13,Card,Success
29,29,2023-11-28,UPI,Failed
30,30,2023-12-08,NetBanking,Success
31,31,2024-01-02,NetBanking,Success
32,32,2022-07-10,Wallet,Failed
33,33,2022-12-29,Wallet,Success
34,34,2022-10-09,NetBanking,Success
35,35,2023-07-28,UPI,Success
36,36,2023-10-05,UPI,Success
37,37,2023-12-14,Card,Pending
38,38,2022-08-26,Wallet,Success
39,39,2024-03-19,Card,Success
40,40,2024-12-05,Card,Success
41,41,2023-12-23,Card,Pending
42,42,2022-10-10,Wallet,Success
43,43,2022-10-12,COD,Success
44,44,2022-11-25,UPI,Success
45,45,2022-02-27,Wallet,Success
46,46,2022-07-11,Card,Success
47,47,2023-02-07,UPI,Failed
48,48,2023-08-22,Card,Failed
49,49,2023-04-24,COD,Success
50,50,2023-08-02,Wallet,Success
51,51,2024-11-18,Card,Success
52,52,2022-10-21,UPI,Success
53,53,2023-11-08,COD,Success
54,54,2024-03-04,Card,Success
55,55,2024-10-09,Card,Success
56,56,2023-12-04,UPI,Pending
57,57,2024-03-11,UPI,Success
58,58,2022-11-12,UPI,Success
59,59,2023-05-15,Card,Pending
60,60,2024-10-21,COD,Success
61,61,2023-12-06,UPI,Success
62,62,2024-05-22,Card,Failed
63,63,2024-06-09,Card,Success
64,64,2022-03-21,NetBanking,Success
65,65,2022-05-19,UPI,Success
66,66,2023-12-19,COD,Success
67,67,2022-11-11,UPI,Success
